Equipment ID,Inspection Date,PD Average,PD Count,Temperature,Humidity,Loading,Confirm action,Building,Room,Equipment Name,Measurement Position
115298,10/7/2018 12:00:00 AM,1491.03,21,28.5,81.4,2.1,1,Unloader 1,-,Panel 2 - Outgoing to 2000A LV Air Circuit Breaker,Top
115298,15/3/2019 12:00:00 AM,387.39,25,35.1,58.7,2.4,1,Unloader 1,-,Panel 2 - Outgoing to 2000A LV Air Circuit Breaker,Top
115299,10/7/2018 12:00:00 AM,1410.18,22,28.5,81.4,2.1,1,Unloader 1,-,Panel 2 - Outgoing to 2000A LV Air Circuit Breaker,Bottom
115299,15/3/2019 12:00:00 AM,617.12,9,35.1,58.7,2.4,1,Unloader 1,-,Panel 2 - Outgoing to 2000A LV Air Circuit Breaker,Bottom
115300,10/7/2018 12:00:00 AM,1605.48,13,28.5,81.4,1.4,1,Unloader 1,-,Panel 3 - Outgoing to 1250A LV Air Circuit Panel,Top
115300,15/3/2019 12:00:00 AM,517.11,18,35.1,58.7,1.4,1,Unloader 1,-,Panel 3 - Outgoing to 1250A LV Air Circuit Panel,Top
115301,10/7/2018 12:00:00 AM,1014.96,6,28.5,81.4,1.4,1,Unloader 1,-,Panel 3 - Outgoing to 1250A LV Air Circuit Panel,Bottom
115301,15/3/2019 12:00:00 AM,174.79,3,35.1,58.7,1.4,1,Unloader 1,-,Panel 3 - Outgoing to 1250A LV Air Circuit Panel,Bottom
115302,9/7/2018 12:00:00 AM,609.95,13,32.4,63.4,2.4,2,Unloader 2,-,Panel 2 - Outgoing to 2000A LV Air Circuit Breaker,Top
115302,13/3/2019 12:00:00 AM,839.7,8,33.2,66.1,2.4,1,Unloader 2,-,Panel 2 - Outgoing to 2000A LV Air Circuit Breaker,Top
115304,9/7/2018 12:00:00 AM,600.36,6,32.4,63.4,2.4,1,Unloader 2,-,Panel 2 - Outgoing to 2000A LV Air Circuit Breaker,Bottom
115304,13/3/2019 12:00:00 AM,143.05,5,33.2,66.1,2.4,1,Unloader 2,-,Panel 2 - Outgoing to 2000A LV Air Circuit Breaker,Bottom
115305,9/7/2018 12:00:00 AM,1269.97,7,32.4,63.4,3,1,Unloader 2,-,Panel 3 - Outgoing to 1250A LV Air Circuit Panel,Top
115305,13/3/2019 12:00:00 AM,135.3,3,33.2,66.1,3,1,Unloader 2,-,Panel 3 - Outgoing to 1250A LV Air Circuit Panel,Top
115306,9/7/2018 12:00:00 AM,976.36,11,32.4,63.4,3,1,Unloader 2,-,Panel 3 - Outgoing to 1250A LV Air Circuit Panel,Bottom
115306,13/3/2019 12:00:00 AM,139.45,3,33.2,66.1,3,1,Unloader 2,-,Panel 3 - Outgoing to 1250A LV Air Circuit Panel,Bottom
115308,11/7/2018 12:00:00 AM,408.09,4,34,56.6,2,1,IMPSA 1,-,Panel 1 - F1 Incoming Cubicle,Top
115308,11/3/2019 12:00:00 AM,570.07,10,32.5,59.8,2,1,IMPSA 1,-,Panel 1 - F1 Incoming Cubicle,Top
115309,11/7/2018 12:00:00 AM,363.4,1,34,56.6,2,1,IMPSA 1,-,Panel 1 - F1 Incoming Cubicle,Bottom
115309,11/3/2019 12:00:00 AM,188.43,4,32.5,59.8,2,1,IMPSA 1,-,Panel 1 - F1 Incoming Cubicle,Bottom
115310,11/7/2018 12:00:00 AM,332.14,5,33.4,58.4,10,1,IMPSA 2,-,Panel 1 - C1 Incoming Cubicle,Top
115310,12/3/2019 12:00:00 AM,497.02,7,29.8,69.4,10,1,IMPSA 2,-,Panel 1 - C1 Incoming Cubicle,Top
115311,11/7/2018 12:00:00 AM,334.69,6,33.4,58.4,10,1,IMPSA 2,-,Panel 1 - C1 Incoming Cubicle,Bottom
115311,12/3/2019 12:00:00 AM,581.55,4,29.8,69.4,10,1,IMPSA 2,-,Panel 1 - C1 Incoming Cubicle,Bottom
115313,11/7/2018 12:00:00 AM,377.24,5,32.1,62.2,10,1,IMPSA 3,-,Panel 1 - G1 Incoming Cubicle,Top
115313,11/3/2019 12:00:00 AM,1314.21,5,50.4,34.9,10,1,IMPSA 3,-,Panel 1 - G1 Incoming Cubicle,Top
115314,11/7/2018 12:00:00 AM,253.44,1,32.1,62.2,10,1,IMPSA 3,-,Panel 1 - G1 Incoming Cubicle,Bottom
115314,11/3/2019 12:00:00 AM,2237.04,7,50.4,34.9,10,1,IMPSA 3,-,Panel 1 - G1 Incoming Cubicle,Bottom
115315,9/7/2018 12:00:00 AM,271.51,6,31.8,65,9.9,1,IMPSA 5,-,Panel 1 - A2 Incoming Cubicle,Top
115315,11/3/2019 12:00:00 AM,810.8,5,34.7,51.3,10,1,IMPSA 5,-,Panel 1 - A2 Incoming Cubicle,Top
115316,9/7/2018 12:00:00 AM,497.76,4,31.8,65,9.9,1,IMPSA 5,-,Panel 1 - A2 Incoming Cubicle,Bottom
115316,11/3/2019 12:00:00 AM,341.64,2,34.7,51.3,10,1,IMPSA 5,-,Panel 1 - A2 Incoming Cubicle,Bottom
115317,11/7/2018 12:00:00 AM,425.67,3,33.4,61.1,10,1,IMPSA 6,-,Panel 1 - H1 Incoming Cubicle,Top
115317,11/3/2019 12:00:00 AM,246.3,3,33.9,52.1,10,1,IMPSA 6,-,Panel 1 - H1 Incoming Cubicle,Top
115318,11/7/2018 12:00:00 AM,533.53,3,33.4,61.1,10,1,IMPSA 6,-,Panel 1 - H1 Incoming Cubicle,Bottom
115318,11/3/2019 12:00:00 AM,252.11,2,33.9,52.1,10,1,IMPSA 6,-,Panel 1 - H1 Incoming Cubicle,Bottom
115319,9/7/2018 12:00:00 AM,256.93,10,31.7,65.2,19,1,IMPSA 7,-,Panel 1 - D1 Incoming Cubicle,Top
115319,12/3/2019 12:00:00 AM,837.23,3,32.9,58.4,19,1,IMPSA 7,-,Panel 1 - D1 Incoming Cubicle,Top
115320,9/7/2018 12:00:00 AM,503.39,12,31.7,65.2,19,1,IMPSA 7,-,Panel 1 - D1 Incoming Cubicle,Bottom
115320,12/3/2019 12:00:00 AM,198.09,6,32.9,58.4,19,1,IMPSA 7,-,Panel 1 - D1 Incoming Cubicle,Bottom
115321,9/7/2018 12:00:00 AM,338.92,7,32.7,61.9,10.64,1,IMPSA 9,-,Panel 1 - B1 Incoming Cubicle,Top
115321,11/3/2019 12:00:00 AM,288.36,4,34.9,54.3,11,1,IMPSA 9,-,Panel 1 - B1 Incoming Cubicle,Top
115322,9/7/2018 12:00:00 AM,435.21,2,32.7,61.9,10.64,1,IMPSA 9,-,Panel 1 - B1 Incoming Cubicle,Bottom
115322,11/3/2019 12:00:00 AM,257.44,3,34.9,54.3,11,1,IMPSA 9,-,Panel 1 - B1 Incoming Cubicle,Bottom
